auteur,Date,Titre,Source,Etiquettes ,Décennie,"Notoriété sur Fabula : ""Prénom+nom"" ",Notoriété sur Fabula : nom,Commentaires ,Documents BNF ,Nom du relecteur ,Remarques,Problèmes,
"Capendu, Ernest",1863-01-04T00:00:00+01:00,Marcof-Le-Malouin,Bibebook,non-canonique,1860-1870,0,2,,13,Camille,Une note de bas de page ,,
Erckmann-Chatrian,1862-01-01T00:00:00+01:00,Confidences d'un joueur de clarinette,Bibebook,non-canonique,1860-1870,non pertinent,32,,15,Camille,,,
Erckmann-Chatrian,1865-01-01T01:00:00+01:00,Histoire d’un homme du peuple,Bibebook,non-canonique,1860-1870,non pertinent,32,,17,Camille,,,
Erckmann-Chatrian,1869-01-01T00:00:00+01:00,Histoire d'un paysan IV,Bibebook,non-canonique,1860-1870,non pertinent,32,,34,Camille,,,
"Farrenc, Césarie",1863-03-15T00:00:00+01:00,La jalousie,Mégard,non-canonique,1860-1870,0,0,,1,Camille,Un seul chapitre (quel div choisir ?),,
"Feuillet, Octave",1867-01-01T00:00:00+01:00,Monsieur de Camors,Bibebook,non-canonique,1860-1870,6,non pertinent,,9,Camille,,,
"Féval, Paul (père)",1865-01-01T00:00:00+01:00,La vampire,,non-canonique,1860-1870,35,41,,8,Camille,,,
"Gaboriau, Émile",1866-01-04T00:00:00+01:00,L'affaire Lerouge,Bibebook,non-canonique,1860-1870,20,4,,24,Camille,,,
"Gondrecourt, Aristide de",1861-01-15T00:00:00+01:00,Le Pays de la peur (tome 3),G. Paetz,non-canonique,1860-1870,0,0,,2,Camille,Notes de bas de page,,
"Houssaye, Arsène",1867-01-15T00:00:00+01:00,"La Pantoufle de Cendrillon, ou Suzanne aux coquelicots",A. Parpalet,non-canonique,1860-1870,27,41,,2,Camille,"Sorte ""d'après propos"" avec dédicace à la fin",,
"Malot, Hector",1862-02-15T00:00:00+01:00,Les Amants,Michel- Lévy frères (Paris),non-canonique,1860-1870,38,44,,6,Camille,,,
"Murger, Henri",1869-05-28T00:00:00+01:00,Scènes de la vie de Bohème,,non-canonique,1860-1870,5,26,,77,,,,
"Noriac, Jules",1860-03-08T00:00:00+01:00,La bêtise humaine,,non-canonique,1860-1870,0,0,,3,Camille,,,
"Perret, Paul",1868-02-15T00:00:00+01:00,La Parisienne,,non-canonique,1860-1870,2,non pertinent,,2,Camille,,,
"Ponson du Terrail, Pierre",1868-09-01T00:00:00+01:00,Rocambole - Les Misères de Londre- Tome I - La Nourisseuse d'enfants,Ebooks libres et gratuits,non-canonique,1860-1870,9,10,,2,Camille ,,,
"Pontmartin, Armand de",1863-02-15T00:00:00+01:00,Les brûleurs de temples,Michel Lévy frères (Paris),non-canonique,1860-1870,3,7,,1,Camille,Notes de bas de page,,
"Rigaud, Jean-Baptiste-Amable (pseud. Charles de Ribelle, Céline d'Ornans)",1864-03-15T00:00:00+01:00,Les Confidences de Gribouille,A. Rigaud,non-canonique,1860-1870,0,0,,1,,,,
"Robert, Clémence",1865-03-15T00:00:00+01:00,Le Baron de Trenck,A. de Vresse (Paris),non-canonique,1860-1870,0,non pertinent,,3,,,,
"Rocca, Maria della (née Embden-Heiné, pseud. Camille Henry, Princesse)",1861-03-15T00:00:00+01:00,Le Roman d'une femme laide,Michel-Lévy frères,non-canonique,1860-1870,1,non pertinent ,,3,Camille,,,
"Solms, Marie de",1863-03-15T00:00:00+01:00,Mademoiselle Million,E. Dentu,non-canonique,1860-1870,0,1,,1,,,,
"Stolz, Madame de (pseudonyme de Fanny de Bégon)",1869-03-15T00:00:00+01:00,La Maison roulante,L. Hachette,non-canonique,1860-1870,0,non pertinent,,6,,,,
"Villars, Fanny",1861-03-15T00:00:00+01:00,"Marie et Marguerite, histoire du XIIIe siècle",A. Mame (Tours),non-canonique,1860-1870,0,non pertinent,,9,,,,
"Gautier, Judith",1869-09-20T00:00:00+01:00,Le Dragon Impérial,,non-canonique,1860-1870,22,non pertinent,,3,Camille,,,
"Carraud, Zulma Tourangin, Mme",1869-01-15T00:00:00+01:00,Les Goûters de la grand-mère,Hachette,"littérature jeunesse, non-canonique",1860-1870,0,non pertinent,,3,,,,
"Gaboriau, Émile",1869-01-04T00:00:00+01:00,Monsieur Lecoq I,Bibebook,non-canonique,1860-1870,20,4,,28,Camille,,,
"Féval, Paul (père)",1867-01-01T00:00:00+01:00,L’avaleur de sabres - Les Habits Noirs - Tome VI,,non-canonique,1860-1870,35,41,,9,Camille,Note de bas de page,,
"Ulbach, Louis",1864-03-15T00:00:00+01:00,Mémoires d'un inconnu,J. Hetzel et A. Lacroix (Paris),non-canonique,1860-1870,2,3,,3,Camille,,,
"Daudet, Alphonse",1871-01-01T00:00:00+01:00,Le Nabab,,canonique,1870-1880,80,265,,33,Camille,,,
"Daudet, Alphonse",1872-01-01T00:00:00+01:00,Tartarin de Tarascon,,canonique,1870-1880,80,265,,149,Camille,,,
"Dumas, Alexandre Père",1872-01-01T00:00:00+01:00,La fille du marquis II,,canonique,1870-1880,350,3110,,11,Marianne,,,
"Dumas, Alexandre Père",1872-01-01T00:00:00+01:00,Le docteur mystérieux II,,canonique,1870-1880,350,3110,,13,Marianne,,,
"Flaubert, Gustave",1874-01-15T00:00:00+01:00,La tentation de saint Antoine,,canonique,1870-1880,463,4430,,77,Marianne,,,
"Flaubert, Gustave",1877-02-09T00:00:00+01:00,Trois Contes,,canonique,1870-1880,463,4430,,116,Marianne,,,
"Goncourt, Edmond et Jules de",1877-01-04T00:00:00+01:00,La fille Élisa,,canonique,1870-1880,55,1110,"(mais attention au ""prix Goncourt"") (il faudrait ajouter aussi la recherche ""frères Goncourt"" et les prénoms des deux frères. Ici la recherche était ""Edmond et Jules de Goncourt"")",43,Camille,,,
"Hugo, Victor",1874-03-25T00:00:00+01:00,Quatrevingt-Treize,,canonique,1870-1880,1120,2880,,138,,Aucune div !!! POssible de retrouver ? ,,
"Huysmans, Joris-Karl",1876-01-15T00:00:00+01:00,"Marthe, histoire d'une fille",J. Gay,canonique,1870-1880,107,605,,16,Camille ,,,
"Huysmans, Joris-Karl",1879-01-15T00:00:00+01:00,Les soeurs Vatard,canonique,canonique,1870-1880,107,605,,16,Camille,,,
"Loti, Pierre",1879-01-01T00:00:00+01:00,Aziyadé,canonique,canonique,1870-1880,135,215,,38,Camille,note de bas de page,,
"Sand, George",1872-01-22T00:00:00+01:00,Nanon,canonique,canonique,1870-1880,2380,2510,,16,Marianne,,,
"Sand, George",1876-12-17T00:00:00+01:00,Autour de la table,canonique,canonique,1870-1880,2380,2510,,5,Marianne,,,
"Sand, George",1870-01-02T00:00:00+01:00,Césarine Dietrich,canonique,canonique,1870-1880,2380,2510,,5,Marianne,,,
"Verne, Jules",1870-01-04T00:00:00+01:00,20000 lieues sous les mers,Bibebook,canonique,1870-1880,1670,1480,,113,Marianne,,,
"Verne, Jules",1876-04-15T00:00:00+01:00,Michel Strogoff,,canonique,1870-1880,1670,1480,,118,Marianne,,,
"Verne, Jules",1870-01-04T00:00:00+01:00,Autour de la Lune,canonique,canonique,1870-1880,1670,1480,,58,Marianne,,,
"Verne, Jules",1873-03-05T00:00:00+01:00,Le tour du monde en quatre-vingts jours,canonique,canonique,1870-1880,1670,1480,,221,Marianne,,,
