auteur,Date,Titre,Source,Etiquettes ,Décennie,"Notoriété sur Fabula : ""Prénom+nom"" ",Notoriété sur Fabula : nom,Commentaires ,Documents BNF ,Nom du relecteur ,Remarques,Problèmes,
"Bernanos, Georges",1950-12-24T00:00:00+01:00,Un mauvais rêve,Groupe «Ebooks libres et gratuits»,canonique,1950-1960,108,319,posthume,14,,,,
"Butor, Michel ",1958,La Modification,,canonique,1950-1960,468,1650,,15,,,,
"Camus, Albert",1956,La chute,à trouver ,canonique,1950-1960,236,1210,,23,,,,
"Céline, Louis Ferdinand",1957-05-11T00:00:00+01:00,D'un château L'autre,Gallimard,canonique,1950-1960,161,2510,,15,,,,
"Cohen, Albert",1954-01-02T00:00:00+01:00,Le livre de ma mère,Gallimard,canonique,1950-1960,163,1420,"Attention, nom très répandu, 2ème colonne peu pertinente",8,,,,
"Dhôtel, André",1955-01-01T00:00:00+01:00,Le pays où l'on n'arrive jamais,Titinefleming - Gigatribe (Martine - TAZ),canonique,1950-1960,966,986,,21,,,,
"Duras, Marguerite",1950-05-08T00:00:00+01:00,Un barrage contre le Pacifique,Folio,canonique,1950-1960,1210,1490,,16,,,,
"Duras, Marguerite",1958-08-28T00:00:00+01:00,Moderato cantabile,,canonique,1950-1960,1210,1490,,6,,,,
"Gary, Romain",1956-09-02T00:00:00+01:00,Les Racines du Ciel,,canonique,1950-1960,309,486,,8,,,,
"Giono, Jean",1951-03-07T00:00:00+01:00,Le Hussard sur le toit,Editions Gallimard,canonique,1950-1960,260,451,,17,,,,
"Gracq, Julien",1951-07-14T00:00:00+01:00,Le rivage des Syrtes,,canonique,1950-1960,460,650,,8,,,,
"Nimier, Roger",1950-09-30T23:00:00+01:00,Le Hussard Bleu,Gallimard,canonique,1950-1960,59,166,,8,,,,
"Queneau, Raymond",1959-05-05T00:00:00+01:00,Zazie Dans Le Métro,,canonique,1950-1960,402,623,,19,,,,
"Robbe-Grillet, Alain",1953-06-23T00:00:00+01:00,Les Gommes,Éditions de Minuit,canonique,1950-1960,229,566,,8,,,,
"Robbe-Grillet, Alain",1957-01-01T00:00:00+01:00,La jalousie,,canonique,1950-1960,229,566,,3,,,,
"Sarraute, Nathalie",1959-09-17T00:00:00+01:00,Le Planétarium,,canonique,1950-1960,339,503,,4,,,,
"Simenon, Georges",1953-03-04T00:00:00+01:00,Maigret a peur,LE LIVRE DE POCHE,canonique,1950-1960,62,194,,10,,,,
"Simenon, Georges",1950-01-01T00:00:00+01:00,Maigret et la vieille dame,Presses de la Cité,canonique,1950-1960,62,194,,12,,,,
"Simon, Claude",1954-04-29T00:00:00+01:00,Le sacre du printemps,Calmann-Lévy,canonique,1950-1960,1600,non pertinent,,3,,,,
"Thomas, Henri",1956-03-13T00:00:00+01:00,La nuit de Londres,,canonique,1950-1960,100,non pertinent,,2,,,,
"Vian, Boris",1953-05-05T00:00:00+01:00,L'arrache-coeur,,canonique,1950-1960,117,187,,15,,,,
"Yourcenar, Marguerite",1951-04-23T00:00:00+01:00,Les Mémoires d'Hadrien,Gallimard,canonique,1950-1960,397,462,,15,,,,
"Blondin, Antoine",1952-05-22T00:00:00+01:00,Les Enfants Du Bon Dieu,Editions Gallimard,non-canonique,1950-1960,32,37,,11,,,,
"Blondin, Antoine",1955-05-30T00:00:00+01:00,L'humeur vagabonde,La Table Ronde,non-canonique,1950-1960,32,37,,7,,,,
"Boulle, Pierre",1952,Le Pont de la Rivière Kwaï,,non-canonique,1950-1960,non pertinent,8,,16,,,,
Boileau-Narcejac,1957,Les magiciennes, ,non-canonique,1950-1960,non pertinent,8,,6,,,,
"Calet, Henri",1952-11-15T00:00:00+01:00,Un Grand Voyage,Le Dilettante & Atelier Panik éd. numérique,non-canonique,1950-1960,39,53,,6,,,,
"de La Varende, Jean",1953-08-05T00:00:00+01:00,L'Homme aux gants de toile,Ebooks libres et gratuits,non-canonique,1950-1960,5,6,,6,,,,
"Des Cars, Guy",1951-05-14T23:00:00+01:00,La brute,J'ai lu,non-canonique,1950-1960,4,17,,6,,,,
"Exbrayat, Charles",1958-04-13T00:00:00+01:00,Ce mort que nul n'aimait,Le Masque,non-canonique,1950-1960,2,5,,4,,,,
"Exbrayat, Charles",1959-12-13T00:00:00+01:00,"Ne vous fâchez pas, Imogène !",Le Masque,non-canonique,1950-1960,2,5,,6,,,,
"Fourré, Maurice",1950-08-05T00:00:00+01:00,La Nuit du Rose-Hôtel,Ebooks libres et gratuits,non-canonique,1950-1960,3,non pertinent,,3,,,,
"Kessel, Joseph",1958,Le Lion,,non-canonique ,1950-1960,,,,35,,,,
"Hémon, Louis",1950-01-04T00:00:00+01:00,Monsieur Ripois et la Némésis,Bibebook,non-canonique,1950-1960,36,49,,9,,,,
"Laurent, Jacques",1954-05-27T00:00:00+01:00,Le petit canard,Grasset,non-canonique,1950-1960,55,non pertinent,,4,,,,
"Laurent, Jacques",1956-01-01T00:00:00+01:00,Caroline Chérie,Archipel,non-canonique,1950-1960,55,non pertinent,,30,,,,
"Malet, Léo",1956-01-01T00:00:00+01:00,Corrida aux Champs-Élysées,,non-canonique,1950-1960,24,64,,5,,,,
"Malet, Léo",1957-01-01T00:00:00+01:00,Boulevard... ossements,,non-canonique,1950-1960,24,64,,6,,,,
"Pagnol, Marcel",1957-05-11T00:00:00+01:00,La Gloire de mon père,Fallois,"mémoire et autobiographie, non-canonique",1950-1960,24,34,,28,,,,
"Pagnol, Marcel",1958-01-01T00:00:00+01:00,Le Château de ma mère,,"non-canonique, mémoire et autobiographie",1950-1960,24,34,,19,,,,
"Réage, Pauline",1954-03-17T00:00:00+01:00,Histoire d'O,,non-canonique,1950-1960,5,6,Quel statut pour ce texte ?,17,,,,
"Rebatet, Lucien",1952-01-01T00:00:00+01:00,Les Deux Étendards,Gallimard,non-canonique,1950-1960,7,15,,7,,,,
"Sagan, Françoise",1954-05-01T00:00:00+01:00,Bonjour tristesse,,non-canonique,1950-1960,37,53,,15,,,,
"Sagan, Françoise",1959-05-01T00:00:00+01:00,Aimez-vous Brahms,Stock,non-canonique,1950-1960,37,53,,8,,,,
San-Antonio,1955-01-01T00:00:00+01:00,C'est mort et ça ne sait pas,,non-canonique,1950-1960,non pertinent,66,,8,,,,
San-Antonio,1955-01-01T00:00:00+01:00,Le fil à couper le beurre,,non-canonique,1950-1960,non pertinent,66,,7,,,,
San-Antonio,1951-01-01T00:00:00+01:00,Les souris ont la peau tendre,,non-canonique,1950-1960,non pertinent,66,,7,,,,
"Simonin, Albert",1953-02-04T00:00:00+01:00,Touchez pas au grisbi,,non-canonique,1950-1960,1,non pertinent,,8,,,,
"Vailland, Roger",1957-04-30T00:00:00+01:00,La Loi,Alexandriz - Vos Uploads - Autres,non-canonique,1950-1960,55,59,,6,,,,
Bouvier Nicolas,1963-01-01T00:00:00+01:00,L'usage du monde,French ebooks,"récit de voyage, canonique",1960-1970,123,316,,9,,,,
"Cohen, Albert",1968-06-21T00:00:00+01:00,Belle du Seigneur,GALLIMARD .,canonique,1960-1970,161,2510,,12,,,,
"Dhôtel, André",1968-12-22T00:00:00+01:00,L'Enfant qui disait n'importe quoi,,canonique,1960-1970,966,986,,4,,,,
"Duras, Marguerite",1964-04-15T00:00:00+01:00,Le Ravissement de Lol V. Stein,Gallimard,canonique,1960-1970,1210,1490,,6,,,,
"Gary, Romain",1960-01-01T00:00:00+01:00,La promesse de l’aube,,canonique,1960-1970,309,486,,12,,,,
"Gary, Romain",1968-06-04T00:00:00+01:00,La Tête coupable,Folio,canonique,1960-1970,309,486,,3,,,,
"Green, Julien",1963-04-17T00:00:00+01:00,Partir avant le jour,Grasset,canonique,1960-1970,119,non pertinent,,5,,,,
"Leduc, Violette",1966-03-14T00:00:00+01:00,Thérèse et Isabelle,,canonique,1960-1970,141,293,,5,,,,
"Mauriac, Francois",1969-09-15T00:00:00+01:00,Un adolescent d'autrefois,,canonique,1960-1970,360,866,,12,,,,
"Modiano, Patrick",1968-10-11T00:00:00+01:00,La Place de l'étoile,,canonique,1960-1970,249,532,,4,,,,
"Modiano, Patrick",1969-03-24T00:00:00+01:00,La Ronde De Nuit,,canonique,1960-1970,249,532,,4,,,,
"Montherlant, Henry de",1969-04-16T23:00:00+01:00,Les garçons,AlexandriZ,canonique,1960-1970,39,161,,8,,,,
"Perec, Georges",1965-12-31T00:00:00+01:00,Les choses,Lotus16,canonique,1960-1970,858,1800,,22,,,,
"Perec, Georges",1967-01-01T00:00:00+01:00,La disparition,,canonique,1960-1970,858,1800,,5,,,,
"Perec, Georges",1966-02-17T00:00:00+01:00,Quel petit vélo à guidon chromé au fond de la cour ?,LE LIVRE DE POCHE,canonique,1960-1970,858,1800,,6,,,,
"Robbe-Grillet, Alain",1961-04-07T00:00:00+01:00,L'Année dernière à Marienbad,Minuit,"cine-roman, canonique",1960-1970,229,566,,12,,,,
"Sartre, Jean-Paul",1963-01-01T00:00:00+01:00,Les Mots,,canonique,1960-1970,538,2460,,13,,,,
"Simenon, Georges",1962-01-01T00:00:00+01:00,Maigret et les braves gens,Presses de la Cité,canonique,1960-1970,62,194,,7,,,,
"Simenon, Georges",1967-01-01T00:00:00+01:00,Le voleur de Maigret,Presses de la Cité,canonique,1960-1970,62,194,,7,,,,
"Simenon, Georges",1964-01-01T00:00:00+01:00,Maigret et le fantôme,Presses de la Cité,canonique,1960-1970,62,194,,12,,,,
"Simon, Claude",1960-02-07T00:00:00+01:00,La Route des Flandres,,canonique,1960-1970,1600,non pertinent,,8,,,,
"Simon, Claude",1967-02-07T00:00:00+01:00,Histoire,Wartz2luxe - Giga (Wartz - TAZ),canonique,1960-1970,1600,non pertinent,,4,,,,
"Tournier, Michel",1967-03-03T00:00:00+01:00,Vendredi ou les limbes du Pacifique,,canonique,1960-1970,202,320,,13,,,,
"Vian, Boris",1966-04-22T00:00:00+01:00,Trouble dans les andains,,canonique,1960-1970,117,187,,5,,,,
"Yourcenar, Marguerite",1968-06-28T00:00:00+01:00,L'Oeuvre Au Noir,,canonique,1960-1970,397,462,,11,,,,
"Barjavel, René",1968-12-26T00:00:00+01:00,La nuit des temps,,"non-canonique, science-fiction",1960-1970,10,22,,10,,,,
"Barjavel, René",1962-11-01T00:00:00+01:00,Colomb de la lune,,non-canonique,1960-1970,10,22,,4,,,,
"Des Cars, Guy",1968-01-01T00:00:00+01:00,La révoltée,J'ai lu,non-canonique,1960-1970,4,17,,4,,,,
"Exbrayat, Charles",1960-02-12T00:00:00+01:00,Amour et sparadrap,Le Masque,non-canonique,1960-1970,2,5,,4,,,,
"Exbrayat, Charles",1963-02-06T15:46:10+01:00,"Quel gâchis, inspecteur !",,non-canonique,1960-1970,2,5,,7,,,,
"Exbrayat, Charles",1961-06-17T00:00:00+01:00,Les Blondes et Papa,Le Masque,non-canonique,1960-1970,2,5,,7,,,,
"Exbrayat, Charles",1960-01-02T00:00:00+01:00,Chewing-Gum et Spaghetti,Le Masque,non-canonique,1960-1970,2,5,,7,,,,
"Exbrayat, Charles",1969-02-11T00:00:00+01:00,Notre Imogène,Le Masque,non-canonique,1960-1970,2,5,,3,,,,
"Marceau, Félicien",1969-06-07T00:00:00+01:00,Creezy,,non-canonique,1960-1970,3,5,,6,,,,
"Merle, Robert",1967-11-02T00:00:00+01:00,Un animal doué de raison,Folio,non-canonique,1960-1970,27,non pertinent,,7,,,,
"Pagnol, Marcel",1963-02-07T00:00:00+01:00,Jean De Florette,De Fallois,non-canonique,1960-1970,24,34,,22,,,,
"Pagnol, Marcel",1963-02-08T00:00:00+01:00,Manon des sources,De Fallois,non-canonique,1960-1970,24,34,,22,,,,
"Sagan, Françoise",1969-06-24T00:00:00+01:00,Un peu de soleil dans l'eau froide,,non-canonique,1960-1970,37,53,,9,,,,
San-Antonio,1961-01-01T00:00:00+01:00,Ne mangez pas la consigne,,non-canonique,1960-1970,non pertinent,66,,4,,,,
San-Antonio,1965-01-01T00:00:00+01:00,La rate au court bouillon,,non-canonique,1960-1970,non pertinent,66,,7,,,,
San-Antonio,1961-01-01T00:00:00+01:00,San-Antonio chez les Mac,,non-canonique,1960-1970,non pertinent,66,,7,,,,
San-Antonio,1961-01-01T00:00:00+01:00,De A jusqu'à Z,,non-canonique,1960-1970,non pertinent,66,,5,,,,
San-Antonio,1966-01-01T00:00:00+01:00,"Mange, et tais-toi",,non-canonique,1960-1970,non pertinent,66,,5,,,,
"Simonin, Albert",1968-01-01T00:00:00+01:00,Le Hotu,,non-canonique,1960-1970,1,non pertinent,,5,,,,
"Siniac, Pierre",1969-10-15T00:00:00+01:00,La Nuit des Auverpins,,non-canonique,1960-1970,2,4,,1,,,,
"Troyat, Henri",1961-01-01T00:00:00+01:00,La gloire des vaincus,,non-canonique,1960-1970,13,16,,5,,,,
"Troyat, Henri",1962-01-01T00:00:00+01:00,Les Dames de Sibérie,,non-canonique,1960-1970,13,16,,6,,,,
"Troyat, Henri",1963-01-01T00:00:00+01:00,Sophie ou La Fin des Combats,,non-canonique,1960-1970,13,16,,5,,,,
"Villiers, Gérard de",1965-01-15T00:00:00+01:00,SAS à Istanbul,AlexandriZ,"non-canonique, non-canonique",1960-1970,2,non pertinent,,5,,,,
"Villiers, Gérard de",1965-02-18T00:00:00+01:00,SAS contre CIA,AlexandriZ,"non-canonique, non-canonique",1960-1970,2,non pertinent,,4,,,,
"Ajar, Emile / Gary, Romain",1974-05-05T00:00:00+01:00,Gros-Câlin,Mercure de France & Atelier Panik éd. numérique,canonique,1970-1980,309,486,,6,,,,
"Ajar, Emile / Gary, Romain",1975-08-17T00:00:00+01:00,La Vie Devant Soi,,canonique,1970-1980,309,486,,22,,,,
"Ajar, Emile / Gary, Romain",1979-01-06T00:00:00+01:00,L'angoisse du roi Salomon,Mercure de France & Atelier Panik éd. numérique,canonique,1970-1980,309,486,,8,,,,
"Camus, Albert",1971-03-24T00:00:00+01:00,La mort heureuse,,canonique,1970-1980,574,1480,,15,,,,
"Carrère, Emmanuel",1973-09-29T00:00:00+01:00,je suis vivant et vous êtes morts,POINTDEUX,"canonique, biographie",1970-1980,143,195,,4,,,,
"Dhôtel, André",1972-01-01T00:00:00+01:00,L'honorable Monsieur Jacques,Editions Gallimard,canonique ,1970-1980,966,986,,2,,,,
"Échenoz, Jean",1979-09-29T00:00:00+02:00,Le méridien de Greenwich,Minuit,canonique,1970-1980,22,340,,2,,,,
"Ernaux, Annie",1977-01-01T00:00:00+01:00,Ce qu'ils disent ou rien,,canonique,1970-1980,500,543,,3,,,,
"Gary, Romain",1973-01-19T00:00:00+01:00,Charge d'âme,Folio,canonique,1970-1980,309,486,,6,,,,
"Gary, Romain",1972-10-03T00:00:00+01:00,Europa,Editions Gallimard,canonique,1970-1980,309,486,,3,,,,
"Modiano, Patrick",1975-03-25T00:00:00+01:00,Villa Triste,,canonique,1970-1980,249,532,,6,,,,
"Modiano, Patrick",1978-03-25T00:00:00+01:00,Rue des boutiques obscures,,canonique,1970-1980,249,532,,8,,,,
"Modiano, Patrick",1977-08-01T00:00:00+02:00,Livret de famille,,canonique,1970-1980,249,532,,2,,,,
"Modiano, Patrick",1972-03-25T00:00:00+01:00,Les boulevards de ceinture,,canonique,1970-1980,249,532,,3,,,,
"Perec, Georges",1973-01-01T06:00:00+01:00,La Boutique Obscure: 124 Dreams,Melville House,canonique,1970-1980,858,1800,,3,,,,
"Perec, Georges",1978-04-17T00:00:00+02:00,La Vie mode d'emploi,,canonique,1970-1980,858,1800,,13,,,,
"Perec, Georges",1974-01-01T00:00:00+01:00,Un homme qui dort,Denoël,canonique,1970-1980,858,1800,,6,,,,
"Robbe-Grillet, Alain",1976-03-01T00:00:00+01:00,Topologie d'une cité fantôme,Minuit,canonique,1970-1980,229,566,,2,,,,
"Sarraute, Nathalie",1976-01-01T00:00:00+01:00,"""disent les imbéciles""",,canonique,1970-1980,339,503,,2,,,,
"Simenon, Georges",1970-01-01T00:00:00+01:00,La folle de Maigret,Presses de la Cité,"canonique, ",1970-1980,62,194,,7,,,,
"Simenon, Georges",1971-01-01T00:00:00+01:00,Maigret et l'homme tout seul,Presses de la Cité,canonique,1970-1980,62,194,,5,,,,
"Simon, Claude",1975-05-22T00:00:00+01:00,Leçon De Choses,Minuit,canonique,1970-1980,1600,non pertinent ,,2,,,,
"Tournier, Michel",1970-12-02T00:00:00+01:00,Le Roi des Aulnes,,canonique,1970-1980,202,320,,11,,,,
"Tournier, Michel",1975-04-07T00:00:00+01:00,Les Météores,,canonique,1970-1980,202,320,,8,,,,
"Tournier, Michel",1978-03-05T00:00:00+01:00,Le Coq de bruyère,,canonique,1970-1980,202,320,,3,,,,
"Yourcenar, Marguerite",1974-08-13T23:00:00+01:00,Souvenirs pieux,Gallimard,canonique,1970-1980,397,462,,8,,,,
A.D.G,1977-03-20T00:00:00+01:00,Le grand môme,Gallimard-Série noire,non canonique,1970-1980,non pertinent,2,,1,,,,
A.D.G.,1972-12-03T00:00:00+01:00,La nuit des grands chiens malades,Gallimard,non canonique,1970-1980,non pertinent,2,,3,,,,
A.D.G.,1972-10-15T00:00:00+01:00,Cradoque's band,,non canonique,1970-1980,non pertinent,2,,2,,,,
"Barjavel, René",1973-12-11T00:00:00+01:00,Le Grand Secret,,non-canonique,1970-1980,10,22,,5,,,,
Boileau-Narcejac,1972,La vie en miettes,,non-canonique,1970-1980,,8,,3,,,,
Boileau-Narcejac,1978,Carte vermeil,,non-canonique,1970-1980,,8,,6,,,,
Boileau-Narcejac,1970,Les veufs,,non-canonique,1970-1980,,8,,3,,,,
"Blondin, Antoine",1970-01-01T00:00:00+01:00,Monsieur Jadis ou l'école du soir,Folio,non-canonique,1970-1980,32,37,,5,,,,
"Blondin, Antoine",1975-05-31T00:00:00+01:00,Quat'saisons,,non-canonique,1970-1980,32,37,,6,,,,
"Déon, Michel",1970-05-13T04:00:00+01:00,Les poneys sauvages,Gallimard,non-canonique,1970-1980,27,28,,7,,,,
"Déon, Michel",1973-01-01T00:00:00+01:00,Un Taxi mauve,,non-canonique,1970-1980,27,28,,7,,,,
"Déon, Michel",1975-01-01T00:00:00+01:00,Le Jeune homme vert,,non-canonique,1970-1980,27,28,,7,,,,
"Druon, Maurice",1977,Les rois maudits (l'intégrale),,non-canonique,1970-1980,,,,63,,,,
"Exbrayat, Charles",1972-01-01T00:00:00+01:00,Pourquoi tuer le pépé ?,,non canonique,1970-1980,2,5,,2,,,,
"Exbrayat, Charles",1971-01-01T01:00:00+01:00,La petite fille à la fenêtre,,non canonique,1970-1980,2,5,,4,,,,
"Exbrayat, Charles",1972-03-13T00:00:00+01:00,Ton amour et ma jeunesse,Club des masques,non canonique,1970-1980,2,5,,2,,,,
"Laurent, Jacques",1971-10-01T04:00:00+01:00,Les bêtises,Grasset,non-canonique,1970-1980,55,non pertinent,,5,,,,
"Pagnol, Marcel",1977-11-08T00:00:00+01:00,Souvenirs d’enfance IV - Le temps des amours,,"non-canonique, mémoire et autobiographie",1970-1980,24,34,,13,,,,
"Rolin, Dominique",1973-02-16T00:00:00+01:00,Lettre au vieil homme,Le Grand Livre du Mois,non canonique,1970-1980,21,non pertinent,,1,,,,
San-Antonio,1975-01-01T00:00:00+01:00,Certaines l'aiment chauve,,non canonique,1970-1980,non pertinent,66,,5,,,,
San-Antonio,1970-01-01T00:00:00+01:00,Ça mange pas de pain,,non canonique,1970-1980,non pertinent,66,,6,,,,
San-Antonio,1974-01-01T00:00:00+01:00,Un os dans la noce,,non canonique,1970-1980,non pertinent,66,,4,,,,
"Simonin, Albert",1977-01-01T01:46:37+01:00,Confessions d'un enfant de La Chapelle,Gallimard,non-canonique,1970-1980,1,non pertinent,,4,,,,
"Vautrin, Jean",1973-01-02T00:00:00+01:00,À Bulletins Rouges,Gallimard,non canonique,1970-1980,4,non pertinent,,3,,,,
"Vautrin, Jean",1974-06-26T00:00:00+01:00,Billy-Ze-Kick,Folio Gallimard,non canonique,1970-1980,4,non pertinent,,7,,,,
"Bergounioux, Pierre",1986-06-28T00:00:00+02:00,La bête faramineuse,,canonique,1980-1990,276,370,,2,,,,
"Bergounioux, Pierre",1987-06-28T00:00:00+02:00,La maison rose,,canonique,1980-1990,276,370,,1,,,,
"Carrère, Emmanuel",1986-01-01T00:00:00+01:00,La Moustache,,canonique,1980-1990,143,195,,6,,,,
"Chevillard, Éric",1987-09-05T00:00:00+02:00,Mourir m'enrhume,Les Editions de Minuit,canonique,1980-1990,72,285,,2,,,,
"Duras, Marguerite",1986-03-24T00:00:00+01:00,Les Yeux Bleus Cheveux Noirs,Minuit,canonique,1980-1990,987,1220,,4,,,,
"Duras, Marguerite",1984-02-15T00:00:00+01:00,L'Amant,Editions de Minuit,canonique,1980-1990,987,1220,,15,,,,
"Échenoz, Jean",1983-05-22T00:00:00+02:00,Cherokee,,canonique,1980-1990,22,339,,3,,,,
"Échenoz, Jean",1987-01-01T00:00:00+01:00,Equipée malaise,,canonique,1980-1990,22,339,,4,,,,
"Ernaux, Annie",1983-02-15T00:00:00+01:00,La place,,canonique,1980-1990,500,543,,10,,,,
"Germain, Sylvie",1984-07-07T00:00:00+02:00,Le Livre des Nuits,Blondie - La Gang,canonique,1980-1990,660,,,4,,,,
"Green, Julien",1987-01-15T00:00:00+01:00,Les Pays lointains,Seuil,canonique,1980-1990,119,non pertinent,,5,,,,
"Kundera, Milan",1984-09-15T00:00:00+02:00,L'insoutenable légèreté de l'être,,canonique,1980-1990,215,339,,8,,,,
"Le Clézio, Jean-Marie Gustave",1982-10-15T01:00:00+01:00,La ronde et autres faits divers,Gallimard,canonique,1980-1990,,,recueil de nouvelles,4,,,,
"Michon, Pierre",1984-11-28T00:00:00+01:00,Vies Minuscules,,canonique,1980-1990,470,725,,2,,,,
"Michon, Pierre",1988-08-14T00:00:00+02:00,Vie de Joseph Roulin,Verdier,canonique,1980-1990,470,725,,2,,,,
"Millet, Richard",1985-05-13T00:00:00+02:00,Sept passions singulières,,"canonique, nouvelles",1980-1990,143,non pertinent,,1,,,,
"Modiano, Patrick",1984-03-25T00:00:00+01:00,Quartier perdu,,canonique,1980-1990,249,532,,3,,,,
"Modiano, Patrick",1982-07-31T00:00:00+02:00,De si braves garçons,,canonique,1980-1990,249,532,,5,,,,
"Perec, Georges",1989-09-01T00:00:00+02:00,L'Infra-ordinaire,Seuil,canonique,1980-1990,858,1800,,1,,,,
"Quignard, Pascal",1986-07-11T00:00:00+02:00,Le salon du Wurtemberg,Gallimard,canonique,1980-1990,619,667,,4,,,,
"Rolin, Olivier",1987-07-25T00:00:00+02:00,Bar des flots noirs,Seuil,canonique,1980-1990,198,non pertinent ,,3,,,,
"Sarraute, Nathalie",1983-01-02T00:00:00+01:00,Enfance,Gallimard,canonique,1980-1990,339,503,,18,,,,
"Simon, Claude",1981-09-04T00:00:00+02:00,Les Géorgiques,Minuit,canonique,1980-1990,1600,non pertinent,,3,,,,
"Simon, Claude",1989-01-14T00:00:00+01:00,L'Acacia,Minuit / Scriptorium .W.,canonique,1980-1990,1600,non pertinent,,2,,,,
"Yourcenar, Marguerite",1988-08-15T00:00:00+02:00,Quoi ? L'Éternité,Gallimard,canonique,1980-1990,397,462,,5,,,,
"Tournier, Michel",1983-10-01T00:00:00+01:00,Gilles et Jeanne,Folio,canonique,1980-1990,202,320,,2,,,,
A.D.G.,1980-03-20T00:00:00+01:00,Pour venger Pépère,,non-canonique,1980-1990,non pertinent,2,,2,,,,
"Barjavel, René",1982-04-14T00:00:00+02:00,La Tempête,,non-canonique,1980-1990,10,22,,3,,,,
"Barjavel, René",1985-04-02T00:00:00+02:00,La peau de César,,non-canonique,,10,22,,4,,,,
Boileau-Narcejac,1980,Les intouchables,,non canonique,,non pertinent,8,,4,,,,
"Chessex, Jacques",1982-12-01T00:00:00+01:00,Judas le transparent,Grasset,non-canonique,1980-1990,51,54,,2,,,,
"Daeninckx, Didier",1982-02-14T00:00:00+01:00,Mort Au Premier Tour,Editions Gallimard,non-canonique,1980-1990,79,66,,3,,,,
"Daeninckx, Didier",1986-01-09T00:00:00+01:00,Le bourreau et son double,Editions Gallimard,non-canonique,1980-1990,79,66,,3,,,,
"Daeninckx, Didier",1984-03-01T00:00:00+01:00,Le der des ders,,non-canonique,,79,66,,4,,,,
"Djian, Philippe",1984-03-10T00:00:00+01:00,Zone érogène,,non-canonique,1980-1990,5,non pertinent,,4,,,,
"Djian, Philippe",1984-12-27T00:00:00+01:00,Vers chez les blancs,,non-canonique,1980-1990,5,no pertinent,,4,,,,
"Exbrayat, Charles",1981-08-04T00:00:00+02:00,La lumière du matin,Albin Michel,non-canonique,1980-1990,2,5,,7,,,,
"Exbrayat, Charles",1987-06-01T00:00:00+02:00,Rachel et ses amours,,non-canonique,1980-1990,2,5,,5,,,,
"Gailly, Christian",1989-01-15T00:00:00+01:00,K.622,Minuit,non-canonique,1980-1990,46,70,,3,,,,
"Jonquet, Thierry",1984-04-09T00:00:00+02:00,Mygale,Gallimard,non-canonique,1980-1990,16,27,,5,,,,
"Jonquet, Thierry",1985-02-09T00:00:00+01:00,la bête et la belle,,non-canonique,1980-1990,16,27,,8,,,,
"Jonquet, Thierry",1986-01-02T00:00:00+01:00,Le Manoir Des Immortelles,,non-canonique,,16,27,,3,,,,
"Kristof, Agota",1986-04-17T00:00:00+02:00,Le Grand Cahier,,non-canonique,1980-1990,47,74,,8,,,,
"Laurent, Jacques",1982-10-02T08:00:00+01:00,Les dimanches de Mademoiselle Beaunon,Grasset,non-canonique,1980-1990,55,non pertinent,,6,,,,
"Orsenna, Erik",1988-03-15T00:00:00+01:00,L'exposition coloniale,Seuil,non-canonique,1980-1990,15,31,,7,,,,
"Pennac, Daniel",1985-03-28T00:00:00+01:00,Au bonheur des ogres,AlexandriZ,non-canonique,1980-1990,32,45,,3,,,,
"Pennac, Daniel",1987-01-13T00:00:00+01:00,La fée carabine,AlexandriZ,non-canonique,1980-1990,32,45,,4,,,,
"Sagan, Françoise",1983-01-01T00:00:00+01:00,Un orage immobile,,non-canonique,1980-1990,37,53,,11,,,,
San-Antonio,1986-01-27T00:00:00+01:00,Alice au pays des merguez,Fleuve Noir,non-canonique,1980-1990,non pertinent,66,,3,,,,
"Villard, Marc",1987-01-15T00:00:00+01:00,Rebelles de la nuit,Le Mascaret,non-canonique,1980-1990,1,non pertinent,,2,,,,
"Villard, Marc",1989-01-21T00:00:00+01:00,La dame est une traînée,Gallimard/Série Noire,non-canonique,1980-1990,1,non pertinent,,2,,,,
"Bauchau, Henry",1991-09-15T00:00:00+02:00,Diotime et les lions,Actes Sud,canonique,1990-2000,532,569,,4,,,,
"Bergounioux, Pierre",1995-06-28T00:00:00+02:00,Miette,,canonique,1990-2000,278,378,,2,,,,
"Bergounioux, Pierre",1997-08-09T00:00:00+02:00,L'empreinte,,canonique,1990-2000,278,378,,2,,,,
"Carrère, Emmanuel",1995-11-17T00:00:00+01:00,La classe de neige,POL Editeur,canonique,1990-2000,143,195,,9,,,,
"Chevillard, Éric",1993-01-01T00:00:00+01:00,La nébuleuse du Crabe,,canonique,1990-2000,72,285,,2,,,,
"Chevillard, Éric",1994-01-05T00:00:00+01:00,Préhistoire,Les Éditions De Minuit,canonique,1990-2000,72,285,,1,,,,
"Darrieussecq, Marie",1996-07-20T00:00:00+02:00,Truismes,Gallimard,canonique,1990-2000,171,195,,5,,,,
"Des Forêts, René-Louis",1997-02-22T00:00:00+01:00,Ostinato,Mercure de France / Scriptorium .W.,canonique,1990-2000,105,244,,5,,,,
"Échenoz, Jean",1995-01-01T00:00:00+01:00,Les Grandes Blondes,Éditions de Minuit,canonique,1990-2000,22,339,,3,,,,
"Échenoz, Jean",1999-12-13T00:00:00+01:00,Je m'en vais,,canonique,1990-2000,22,339,,6,,,,
